,arrival_lambda,bus_seats,bus_stops,waiting_time_mean,waiting_time_std,serving_time_mean,serving_time_std,customers_upon_arrival_mean,customers_upon_arrival_std
0,20,50,5,9.92988278275592,0.9866273588378633,3.5128,0.04312725356430666,189.10410000000002,12.813325411071084
1,20,50,10,32.99775906154633,0.8096438435177199,5.9925,0.04146866286727841,322.8313,6.219865947912368
2,20,50,20,80.56395520898697,1.0713535979327469,11.024799999999999,0.07060991431803339,413.41549999999995,3.146327835747563
3,20,100,5,0.0,0.0,3.5126,0.023148218073968444,68.12859999999999,1.0041617598773622
4,20,100,10,4.456158171765649,0.45087347350079826,5.9762,0.05243624700529204,168.791,7.438135371180063
5,20,100,20,26.66876837117922,0.6389022482860228,11.0033,0.06662139296052001,336.3519,4.827110511475781
6,50,50,5,23.676333822565788,0.43595992836586384,3.4996,0.031449006343603265,387.2215,5.475504364896438
7,50,50,10,47.27770987494562,0.5264246107045201,6.008800000000001,0.03501085545941434,440.79580000000004,3.387744376425112
8,50,50,20,94.70555624938338,0.47362879144152176,11.0006,0.05427190801878979,476.9308,0.9108664885700934
9,50,100,5,6.761980482194259,0.16115935871982656,3.4928,0.03512491992873435,287.72390000000007,3.5265538546859054
10,50,100,10,17.70686140746111,0.4221971537856037,6.000000000000001,0.03781534080237812,388.49570000000006,5.914065861148314
11,50,100,20,40.47639710708044,0.3008175450017392,11.0139,0.07121299038799035,458.1887,2.7297283399635197
