,arrival_lambda,bus_seats,bus_stops,waiting_time_mean,waiting_time_std,serving_time_mean,serving_time_std,customers_upon_arrival_mean,customers_upon_arrival_std
0,20,50,5,9.1989973942881,0.32111560464645567,3.5006,0.00701712191713947,179.2936,4.979032078627329
1,20,50,10,32.88855777272485,0.7001386595502068,6.0039,0.010746627377926461,322.6195000000001,6.371398782841963
2,20,50,20,80.46138241328538,0.49347671609149535,11.0014,0.014698299221338366,413.3932,2.5599032716100885
3,20,100,5,0.00022749869981343417,0.0006824960994403024,3.5006999999999997,0.006723838189605644,66.9355,0.7908742314679363
4,20,100,10,4.6817733879265315,0.6269836144749125,6.008100000000001,0.01244548110761497,172.1875,10.65375303120924
5,20,100,20,26.828675565320122,0.3780528767612975,10.9953,0.01140219277156783,338.85319999999996,3.9380384152519428
6,50,50,5,23.513531722001467,0.35181001910828197,3.499,0.009476286192385643,383.1103,3.6770460984328177
7,50,50,10,47.30433346566885,0.29447153062071857,5.9978,0.008692525524840402,442.6537,1.56350657497818
8,50,50,20,94.83492343203052,0.22693530832903028,11.001100000000001,0.008926925562588648,477.9438,0.8013341125897409
9,50,100,5,6.695925491557615,0.17918911590501924,3.5034,0.006902173570694916,284.9168000000001,5.952879921516988
10,50,100,10,17.841548572016926,0.16039353195780964,5.999799999999999,0.011522152576667295,391.4975,3.3471137790639887
11,50,100,20,40.31725604263191,0.34173735289268015,11.0042,0.01646086267484161,457.69069999999994,2.1265160262739653
