,W,L,S,lmbda,seat
0,0.0,0.0,12.674731182795698,0.5,25
1,0.0,0.0,12.28974358974359,0.5,26
2,0.0,0.0,12.436578171091446,0.5,27
3,0.0,0.0,12.528301886792454,0.5,28
4,0.0,0.0,12.660766961651918,0.5,29
5,0.0,0.0,12.408312958435207,0.5,30
6,0.0,0.0,12.57182320441989,0.5,31
7,0.0,0.0,12.351906158357771,0.5,32
8,0.0,0.0,12.549848942598187,0.5,33
9,0.0,0.0,12.606232294617564,0.5,34
10,0.0,0.0,12.4070796460177,0.5,35
11,0.0,0.0,12.492625368731563,0.5,36
12,0.0,0.0,12.621621621621621,0.5,37
13,0.0,0.0,12.639664804469273,0.5,38
14,0.0,0.0,12.405405405405405,0.5,39
15,0.0,0.0,12.425068119891009,0.5,40
16,0.0,0.0,12.42816091954023,0.5,41
17,0.0,0.0,12.777777777777779,0.5,42
18,0.0,0.0,12.506925207756233,0.5,43
19,0.0,0.0,12.361516034985423,0.5,44
20,0.0,0.0,12.438547486033519,0.5,45
21,0.0,0.0,12.203488372093023,0.5,46
22,0.0,0.0,12.410526315789474,0.5,47
23,0.0,0.0,12.466666666666667,0.5,48
24,0.0,0.0,12.335180055401661,0.5,49
25,0.0,0.0,12.445378151260504,0.5,50
26,0.0,0.0,12.498525073746313,0.5,51
27,0.0,0.0,12.49079754601227,0.5,52
28,0.0,0.0,12.717647058823529,0.5,53
29,0.0,0.0,12.328729281767956,0.5,54
30,0.0,0.0,12.68,0.6551724137931034,25
31,0.0,0.0,12.42350332594235,0.6551724137931034,26
32,0.0,0.0,12.461224489795919,0.6551724137931034,27
33,0.0,0.0,12.603938730853391,0.6551724137931034,28
34,0.0,0.0,12.28066528066528,0.6551724137931034,29
35,0.0,0.0,12.564777327935223,0.6551724137931034,30
36,0.0,0.0,12.495391705069125,0.6551724137931034,31
37,0.0,0.0,12.467908902691512,0.6551724137931034,32
38,0.0,0.0,12.324731182795698,0.6551724137931034,33
39,0.0,0.0,12.638157894736842,0.6551724137931034,34
40,0.0,0.0,12.462776659959758,0.6551724137931034,35
41,0.0,0.0,12.31,0.6551724137931034,36
42,0.0,0.0,12.472727272727273,0.6551724137931034,37
43,0.0,0.0,12.524017467248909,0.6551724137931034,38
44,0.0,0.0,12.51086956521739,0.6551724137931034,39
45,0.0,0.0,12.354297693920335,0.6551724137931034,40
46,0.0,0.0,12.495049504950495,0.6551724137931034,41
47,0.0,0.0,12.524886877828054,0.6551724137931034,42
48,0.0,0.0,12.587852494577007,0.6551724137931034,43
49,0.0,0.0,12.411513859275054,0.6551724137931034,44
50,0.0,0.0,12.632113821138212,0.6551724137931034,45
51,0.0,0.0,12.577464788732394,0.6551724137931034,46
52,0.0,0.0,12.506410256410257,0.6551724137931034,47
53,0.0,0.0,12.247191011235955,0.6551724137931034,48
54,0.0,0.0,12.739583333333334,0.6551724137931034,49
55,0.0,0.0,12.528169014084508,0.6551724137931034,50
56,0.0,0.0,12.463829787234042,0.6551724137931034,51
57,0.0,0.0,12.544086021505377,0.6551724137931034,52
58,0.0,0.0,12.133187772925764,0.6551724137931034,53
59,0.0,0.0,12.391666666666667,0.6551724137931034,54
60,0.0,0.0,12.466546112115733,0.8103448275862069,25
61,0.0,0.0,12.846905537459284,0.8103448275862069,26
62,0.0,0.0,12.547923322683706,0.8103448275862069,27
63,0.0,0.0,12.696750902527075,0.8103448275862069,28
64,0.0,0.0,12.567880794701987,0.8103448275862069,29
65,0.0,0.0,12.381342062193125,0.8103448275862069,30
66,0.0,0.0,12.53298611111111,0.8103448275862069,31
67,0.0,0.0,12.66839378238342,0.8103448275862069,32
68,0.0,0.0,12.40374787052811,0.8103448275862069,33
69,0.0,0.0,12.377495462794919,0.8103448275862069,34
70,0.0,0.0,12.413857677902621,0.8103448275862069,35
71,0.0,0.0,12.569965870307167,0.8103448275862069,36
72,0.0,0.0,12.37979094076655,0.8103448275862069,37
73,0.0,0.0,12.523411371237458,0.8103448275862069,38
74,0.0,0.0,12.556350626118068,0.8103448275862069,39
75,0.0,0.0,12.58274647887324,0.8103448275862069,40
76,0.0,0.0,12.601769911504425,0.8103448275862069,41
77,0.0,0.0,12.420338983050847,0.8103448275862069,42
78,0.0,0.0,12.54406779661017,0.8103448275862069,43
79,0.0,0.0,12.38013698630137,0.8103448275862069,44
80,0.0,0.0,12.489566613162118,0.8103448275862069,45
81,0.0,0.0,12.44636678200692,0.8103448275862069,46
82,0.0,0.0,12.39247311827957,0.8103448275862069,47
83,0.0,0.0,12.386915887850467,0.8103448275862069,48
84,0.0,0.0,12.569664902998236,0.8103448275862069,49
85,0.0,0.0,12.756183745583039,0.8103448275862069,50
86,0.0,0.0,12.43923611111111,0.8103448275862069,51
87,0.0,0.0,12.505244755244755,0.8103448275862069,52
88,0.0,0.0,12.462057335581788,0.8103448275862069,53
89,0.0,0.0,12.466101694915254,0.8103448275862069,54
90,0.0,0.0,12.561051004636786,0.9655172413793104,25
91,0.0,0.0,12.451063829787234,0.9655172413793104,26
92,0.0,0.0,12.325443786982248,0.9655172413793104,27
93,0.0,0.0,12.488472622478387,0.9655172413793104,28
94,0.0,0.0,12.371584699453551,0.9655172413793104,29
95,0.0,0.0,12.59971098265896,0.9655172413793104,30
96,0.0,0.0,12.57796852646638,0.9655172413793104,31
97,0.0,0.0,12.541158536585366,0.9655172413793104,32
98,0.0,0.0,12.44225352112676,0.9655172413793104,33
99,0.0,0.0,12.675141242937853,0.9655172413793104,34
100,0.0,0.0,12.432944606413994,0.9655172413793104,35
101,0.0,0.0,12.449421965317919,0.9655172413793104,36
102,0.0,0.0,12.446043165467627,0.9655172413793104,37
103,0.0,0.0,12.587808417997097,0.9655172413793104,38
104,0.0,0.0,12.517595307917889,0.9655172413793104,39
105,0.0,0.0,12.643478260869566,0.9655172413793104,40
106,0.0,0.0,12.581137309292648,0.9655172413793104,41
107,0.0,0.0,12.515384615384615,0.9655172413793104,42
108,0.0,0.0,12.520361990950226,0.9655172413793104,43
109,0.0,0.0,12.625356125356126,0.9655172413793104,44
110,0.0,0.0,12.533619456366237,0.9655172413793104,45
111,0.0,0.0,12.397297297297298,0.9655172413793104,46
112,0.0,0.0,12.50392464678179,0.9655172413793104,47
113,0.0,0.0,12.402017291066283,0.9655172413793104,48
114,0.0,0.0,12.6,0.9655172413793104,49
115,0.0,0.0,12.464235624123422,0.9655172413793104,50
116,0.0,0.0,12.642750373692078,0.9655172413793104,51
117,0.0,0.0,12.640060240963855,0.9655172413793104,52
