,W,L,S,lmbda,Sensitivity_W,Sensitivity_L
27,14.918941179910608,47.95054305916293,12.471559407500878,3.090909090909091,220.66831738453058,715.6567410808259
28,15.213825697983959,48.920733151663114,12.517205816070927,3.1313131313131315,7.298391822315391,24.012204789379357
29,17.57950140443743,57.56775382531206,12.465862790705334,3.1717171717171717,58.55047373472368,214.0137616728124
30,18.241686947701556,61.46158278324363,12.501736617730316,3.212121212121212,16.389092195787196,96.37226670880675
31,22.56790384928872,76.02422427217125,12.478513817914582,3.2525252525252526,107.07386831428158,360.4253768509564
32,24.209070969827593,81.85525442564119,12.469098472324536,3.2929292929292933,40.61888623333687,144.31799629838005
33,31.843829526935956,110.10898423019532,12.47504363482429,3.3333333333333335,188.96027428843283,699.2798126627179
34,35.91750503966333,124.84114450882608,12.510852951892902,3.3737373737373737,100.82346894000304,364.6209668961129
35,40.47294717331336,143.9178449620922,12.493411057245396,3.4141414141414144,112.74719280783741,472.1483362183336
36,35.86810612624308,128.26294013882955,12.474845713656283,3.4545454545454546,-113.96981591498997,-387.4588943757525
37,45.09690036666943,162.4668527504603,12.503983566596471,3.494949494949495,228.41265745055327,846.546837137865
38,44.614316060941476,161.60862344008075,12.51205169169474,3.5353535353535355,-11.94396156676679,-21.241175431893886
39,51.40923585243054,190.87108789676648,12.474795838626296,3.575757575757576,168.17426483935327,724.2459953029672
40,55.39656455830881,206.3801135050584,12.512529503230498,3.6161616161616164,98.68638547048762,383.8483838052268
41,58.03598231818789,217.56931601608554,12.474494724187497,3.6565656565656566,65.32558955700753,276.9327621479228
42,62.70672216706273,237.59356259973993,12.529928358245789,3.6969696969696972,115.6008112596515,495.6001029454429
43,58.6573021253635,221.5547288300226,12.50137524863918,3.7373737373737375,-100.22314603205636,-396.96113580050536
44,65.7085970834245,253.6011010938502,12.494501878259126,3.7777777777777777,174.51955021201036,793.1477135297362
45,67.93571470941744,268.3915392586289,12.479170782614014,3.8181818181818183,55.12116124332506,366.0633445782703
46,76.84481836299722,305.05250939220065,12.51518008386747,3.858585858585859,220.50031542609807,907.3590108058953
47,74.53651268802632,301.12011839081543,12.512772466809631,3.8989898989898992,-57.13056545552993,-97.32667728428446
48,79.86376930976954,328.5749484709321,12.53230248571744,3.9393939393939394,131.84960138814523,679.5070444828906
49,78.62084698704732,324.0931891428608,12.49033983054684,3.97979797979798,-30.762327487374804,-110.92354336976375
50,85.02769907633765,350.41177159475603,12.496674859829144,4.020202020202021,158.5695892099349,651.3849156844026
51,85.86907096839727,358.11312760907015,12.445673519642842,4.0606060606060606,20.823954328475732,190.6085613542773
52,90.50259658858253,386.4209614332439,12.520361447422903,4.101010101010101,114.67975909958463,700.6188871482963
53,90.60826460967067,378.523004507069,12.5097911626441,4.141414141414142,2.6152835219313326,-195.47443392282784
54,93.94245400183709,408.04681814397986,12.506585368917014,4.181818181818182,82.52118745612023,730.7143875135552
55,97.62876438585802,421.8015306068577,12.505482837284985,4.222222222222222,91.23618200451737,340.42913345622384
56,98.58066692178559,431.4740204646731,12.44457771984548,4.262626262626263,23.55958776420728,239.3941239809305
57,106.3881151734978,470.69439660656246,12.492084462005499,4.303030303030303,193.23434422988,970.7043095117764
58,104.56581839172875,466.02776818832865,12.48292545634196,4.343434343434343,-45.101845348783456,-115.49905335128614
59,104.15065713011214,470.58286748391174,12.491192479738057,4.383838383838384,-10.27524122501122,112.73870756568077
60,110.6236685622802,503.2330915572942,12.518224455543859,4.424242424242424,160.2070329461621,808.0930458162281
61,108.21475311055868,502.33566874978806,12.452046491891313,4.464646464646465,-59.620657430106085,-22.211214485776132
62,111.40848784661436,515.3657387658964,12.482439144911496,4.505050505050505,79.04493471737952,322.4942328986857
63,117.7387323063197,553.6580992832332,12.492460497380474,4.545454545454546,156.6735503777062,947.7359228040815
